Name,Term Type,Party,Start Date,End Date,State,District,Office Address,Phone,Last Name
Henry Cuellar,rep,Democrat,2023-01-03,2025-01-03,TX,28,2372 Rayburn House Office Building Washington DC 20515-4328,202-225-1640,Cuellar
Danny K. Davis,rep,Democrat,2023-01-03,2025-01-03,IL,7,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006,Davis
Diana DeGette,rep,Democrat,2023-01-03,2025-01-03,CO,1,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431,DeGette
Rosa L. DeLauro,rep,Democrat,2023-01-03,2025-01-03,CT,3,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661,DeLauro
Scott DesJarlais,rep,Republican,2023-01-03,2025-01-03,TN,4,2304 Rayburn House Office Building Washington DC 20515-4204,202-225-6831,DesJarlais
Mario Diaz-Balart,rep,Republican,2023-01-03,2025-01-03,FL,26,374 Cannon House Office Building Washington DC 20515-0926,202-225-4211,Diaz-Balart
Lloyd Doggett,rep,Democrat,2023-01-03,2025-01-03,TX,37,2307 Rayburn House Office Building Washington DC 20515-0001,202-225-4865,Doggett
Jeff Duncan,rep,Republican,2023-01-03,2025-01-03,SC,3,2229 Rayburn House Office Building Washington DC 20515-4003,202-225-5301,Duncan
Anna G. Eshoo,rep,Democrat,2023-01-03,2025-01-03,CA,16,272 Cannon House Office Building Washington DC 20515-0516,202-225-8104,Eshoo
"Charles J. ""Chuck"" Fleischmann",rep,Republican,2023-01-03,2025-01-03,TN,3,2187 Rayburn House Office Building Washington DC 20515-4203,202-225-3271,Fleischmann
Virginia Foxx,rep,Republican,2023-01-03,2025-01-03,NC,5,2462 Rayburn House Office Building Washington DC 20515-3305,202-225-2071,Foxx
John Garamendi,rep,Democrat,2023-01-03,2025-01-03,CA,8,2004 Rayburn House Office Building Washington DC 20515-0508,202-225-1880,Garamendi
Paul A. Gosar,rep,Republican,2023-01-03,2025-01-03,AZ,9,2057 Rayburn House Office Building Washington DC 20515-0309,202-225-2315,Gosar
Kay Granger,rep,Republican,2023-01-03,2025-01-03,TX,12,2308 Rayburn House Office Building Washington DC 20515-4312,202-225-5071,Granger
Sam Graves,rep,Republican,2023-01-03,2025-01-03,MO,6,1135 Longworth House Office Building Washington DC 20515-2506,202-225-7041,Graves
Al Green,rep,Democrat,2023-01-03,2025-01-03,TX,9,2347 Rayburn House Office Building Washington DC 20515-4309,202-225-7508,Green
H. Morgan Griffith,rep,Republican,2023-01-03,2025-01-03,VA,9,2202 Rayburn House Office Building Washington DC 20515-4609,202-225-3861,Griffith
Raúl M. Grijalva,rep,Democrat,2023-01-03,2025-01-03,AZ,7,1203 Longworth House Office Building Washington DC 20515-0307,202-225-2435,Grijalva
Brett Guthrie,rep,Republican,2023-01-03,2025-01-03,KY,2,2434 Rayburn House Office Building Washington DC 20515-1702,202-225-3501,Guthrie
Andy Harris,rep,Republican,2023-01-03,2025-01-03,MD,1,1536 Longworth House Office Building Washington DC 20515-2001,202-225-5311,Harris
James A. Himes,rep,Democrat,2023-01-03,2025-01-03,CT,4,2137 Rayburn House Office Building Washington DC 20515-0704,202-225-5541,Himes
Steny H. Hoyer,rep,Democrat,2023-01-03,2025-01-03,MD,5,1705 Longworth House Office Building Washington DC 20515-2005,202-225-4131,Hoyer
Bill Huizenga,rep,Republican,2023-01-03,2025-01-03,MI,4,2232 Rayburn House Office Building Washington DC 20515-2204,202-225-4401,Huizenga
"Henry C. ""Hank"" Johnson, Jr.",rep,Democrat,2023-01-03,2025-01-03,GA,4,2240 Rayburn House Office Building Washington DC 20515-1004,202-225-1605,Jr.
Jim Jordan,rep,Republican,2023-01-03,2025-01-03,OH,4,2056 Rayburn House Office Building Washington DC 20515-3504,202-225-2676,Jordan
Marcy Kaptur,rep,Democrat,2023-01-03,2025-01-03,OH,9,2186 Rayburn House Office Building Washington DC 20515-3509,202-225-4146,Kaptur
William R. Keating,rep,Democrat,2023-01-03,2025-01-03,MA,9,2351 Rayburn House Office Building Washington DC 20515-2109,202-225-3111,Keating
Mike Kelly,rep,Republican,2023-01-03,2025-01-03,PA,16,1707 Longworth House Office Building Washington DC 20515-3816,202-225-5406,Kelly
Doug Lamborn,rep,Republican,2023-01-03,2025-01-03,CO,5,2371 Rayburn House Office Building Washington DC 20515-0605,202-225-4422,Lamborn
Rick Larsen,rep,Democrat,2023-01-03,2025-01-03,WA,2,2163 Rayburn House Office Building Washington DC 20515-4702,202-225-2605,Larsen
John B. Larson,rep,Democrat,2023-01-03,2025-01-03,CT,1,1501 Longworth House Office Building Washington DC 20515-0701,202-225-2265,Larson
Robert E. Latta,rep,Republican,2023-01-03,2025-01-03,OH,5,2467 Rayburn House Office Building Washington DC 20515-3505,202-225-6405,Latta
Barbara Lee,rep,Democrat,2023-01-03,2025-01-03,CA,12,2470 Rayburn House Office Building Washington DC 20515-0512,202-225-2661,Lee
Zoe Lofgren,rep,Democrat,2023-01-03,2025-01-03,CA,18,1401 Longworth House Office Building Washington DC 20515-0518,202-225-3072,Lofgren
Frank D. Lucas,rep,Republican,2023-01-03,2025-01-03,OK,3,2405 Rayburn House Office Building Washington DC 20515-3603,202-225-5565,Lucas
Blaine Luetkemeyer,rep,Republican,2023-01-03,2025-01-03,MO,3,2230 Rayburn House Office Building Washington DC 20515-2503,202-225-2956,Luetkemeyer
Stephen F. Lynch,rep,Democrat,2023-01-03,2025-01-03,MA,8,2109 Rayburn House Office Building Washington DC 20515-2108,202-225-8273,Lynch
Doris O. Matsui,rep,Democrat,2023-01-03,2025-01-03,CA,7,2311 Rayburn House Office Building Washington DC 20515-0507,202-225-7163,Matsui
Michael T. McCaul,rep,Republican,2023-01-03,2025-01-03,TX,10,2300 Rayburn House Office Building Washington DC 20515-4310,202-225-2401,McCaul
Tom McClintock,rep,Republican,2023-01-03,2025-01-03,CA,5,2256 Rayburn House Office Building Washington DC 20515-0505,202-225-2511,McClintock
Betty McCollum,rep,Democrat,2023-01-03,2025-01-03,MN,4,2426 Rayburn House Office Building Washington DC 20515-2304,202-225-6631,McCollum
James P. McGovern,rep,Democrat,2023-01-03,2025-01-03,MA,2,370 Cannon House Office Building Washington DC 20515-2102,202-225-6101,McGovern
Patrick T. McHenry,rep,Republican,2023-01-03,2025-01-03,NC,10,2134 Rayburn House Office Building Washington DC 20515-3310,202-225-2576,McHenry
Cathy McMorris Rodgers,rep,Republican,2023-01-03,2025-01-03,WA,5,2188 Rayburn House Office Building Washington DC 20515-4705,202-225-2006,Rodgers
Gregory W. Meeks,rep,Democrat,2023-01-03,2025-01-03,NY,5,2310 Rayburn House Office Building Washington DC 20515-3205,202-225-3461,Meeks
Gwen Moore,rep,Democrat,2023-01-03,2025-01-03,WI,4,2252 Rayburn House Office Building Washington DC 20515-4904,202-225-4572,Moore
Jerrold Nadler,rep,Democrat,2023-01-03,2025-01-03,NY,12,2132 Rayburn House Office Building Washington DC 20515-3212,202-225-5635,Nadler
Grace F. Napolitano,rep,Democrat,2023-01-03,2025-01-03,CA,31,1610 Longworth House Office Building Washington DC 20515-0531,202-225-5256,Napolitano
Richard E. Neal,rep,Democrat,2023-01-03,2025-01-03,MA,1,372 Cannon House Office Building Washington DC 20515-2101,202-225-5601,Neal
"Frank Pallone, Jr.",rep,Democrat,2023-01-03,2025-01-03,NJ,6,2107 Rayburn House Office Building Washington DC 20515-3006,202-225-4671,Jr.
Nancy Pelosi,rep,Democrat,2023-01-03,2025-01-03,CA,11,1236 Longworth House Office Building Washington DC 20515-0511,202-225-4965,Pelosi
Chellie Pingree,rep,Democrat,2023-01-03,2025-01-03,ME,1,2354 Rayburn House Office Building Washington DC 20515-1901,202-225-6116,Pingree
Bill Posey,rep,Republican,2023-01-03,2025-01-03,FL,8,2150 Rayburn House Office Building Washington DC 20515-0908,202-225-3671,Posey
Mike Quigley,rep,Democrat,2023-01-03,2025-01-03,IL,5,2083 Rayburn House Office Building Washington DC 20515-1305,202-225-4061,Quigley
Harold Rogers,rep,Republican,2023-01-03,2025-01-03,KY,5,2406 Rayburn House Office Building Washington DC 20515-1705,202-225-4601,Rogers
Mike Rogers,rep,Republican,2023-01-03,2025-01-03,AL,3,2469 Rayburn House Office Building Washington DC 20515-0103,202-225-3261,Rogers
C. A. Dutch Ruppersberger,rep,Democrat,2023-01-03,2025-01-03,MD,2,2206 Rayburn House Office Building Washington DC 20515-2002,202-225-3061,Ruppersberger
John P. Sarbanes,rep,Democrat,2023-01-03,2025-01-03,MD,3,2370 Rayburn House Office Building Washington DC 20515-2003,202-225-4016,Sarbanes
Steve Scalise,rep,Republican,2023-01-03,2025-01-03,LA,1,2049 Rayburn House Office Building Washington DC 20515-1801,202-225-3015,Scalise
Janice D. Schakowsky,rep,Democrat,2023-01-03,2025-01-03,IL,9,2408 Rayburn House Office Building Washington DC 20515-1309,202-225-2111,Schakowsky
Adam B. Schiff,rep,Democrat,2023-01-03,2025-01-03,CA,30,2309 Rayburn House Office Building Washington DC 20515-0530,202-225-4176,Schiff
David Schweikert,rep,Republican,2023-01-03,2025-01-03,AZ,1,460 Cannon House Office Building Washington DC 20515-0301,202-225-2190,Schweikert
Austin Scott,rep,Republican,2023-01-03,2025-01-03,GA,8,2185 Rayburn House Office Building Washington DC 20515-1008,202-225-6531,Scott
David Scott,rep,Democrat,2023-01-03,2025-01-03,GA,13,468 Cannon House Office Building Washington DC 20515-1013,202-225-2939,Scott
"Robert C. ""Bobby"" Scott",rep,Democrat,2023-01-03,2025-01-03,VA,3,2328 Rayburn House Office Building Washington DC 20515-4603,202-225-8351,Scott
Terri A. Sewell,rep,Democrat,2023-01-03,2025-01-03,AL,7,1035 Longworth House Office Building Washington DC 20515-0107,202-225-2665,Sewell
Brad Sherman,rep,Democrat,2023-01-03,2025-01-03,CA,32,2365 Rayburn House Office Building Washington DC 20515-0532,202-225-5911,Sherman
Michael K. Simpson,rep,Republican,2023-01-03,2025-01-03,ID,2,2084 Rayburn House Office Building Washington DC 20515-1202,202-225-5531,Simpson
Adam Smith,rep,Democrat,2023-01-03,2025-01-03,WA,9,2264 Rayburn House Office Building Washington DC 20515-4709,202-225-8901,Smith
Adrian Smith,rep,Republican,2023-01-03,2025-01-03,NE,3,502 Cannon House Office Building Washington DC 20515-2703,202-225-6435,Smith
Christopher H. Smith,rep,Republican,2023-01-03,2025-01-03,NJ,4,2373 Rayburn House Office Building Washington DC 20515-3004,202-225-3765,Smith
Linda T. Sánchez,rep,Democrat,2023-01-03,2025-01-03,CA,38,2428 Rayburn House Office Building Washington DC 20515-0538,202-225-6676,Sánchez
Bennie G. Thompson,rep,Democrat,2023-01-03,2025-01-03,MS,2,2466 Rayburn House Office Building Washington DC 20515-2402,202-225-5876,Thompson
Mike Thompson,rep,Democrat,2023-01-03,2025-01-03,CA,4,268 Cannon House Office Building Washington DC 20515-0504,202-225-3311,Thompson
Glenn Thompson,rep,Republican,2023-01-03,2025-01-03,PA,15,400 Cannon House Office Building Washington DC 20515-3815,202-225-5121,Thompson
Paul Tonko,rep,Democrat,2023-01-03,2025-01-03,NY,20,2369 Rayburn House Office Building Washington DC 20515-3220,202-225-5076,Tonko
Michael R. Turner,rep,Republican,2023-01-03,2025-01-03,OH,10,2183 Rayburn House Office Building Washington DC 20515-3510,202-225-6465,Turner
Nydia M. Velázquez,rep,Democrat,2023-01-03,2025-01-03,NY,7,2302 Rayburn House Office Building Washington DC 20515-3207,202-225-2361,Velázquez
Tim Walberg,rep,Republican,2023-01-03,2025-01-03,MI,5,2266 Rayburn House Office Building Washington DC 20515-2205,202-225-6276,Walberg
Debbie Wasserman Schultz,rep,Democrat,2023-01-03,2025-01-03,FL,25,270 Cannon House Office Building Washington DC 20515-0925,202-225-7931,Schultz
Maxine Waters,rep,Democrat,2023-01-03,2025-01-03,CA,43,2221 Rayburn House Office Building Washington DC 20515-0543,202-225-2201,Waters
Daniel Webster,rep,Republican,2023-01-03,2025-01-03,FL,11,2184 Rayburn House Office Building Washington DC 20515-0911,202-225-1002,Webster
Joe Wilson,rep,Republican,2023-01-03,2025-01-03,SC,2,1436 Longworth House Office Building Washington DC 20515-4002,202-225-2452,Wilson
Frederica S. Wilson,rep,Democrat,2023-01-03,2025-01-03,FL,24,2080 Rayburn House Office Building Washington DC 20515-0924,202-225-4506,Wilson
Robert J. Wittman,rep,Republican,2023-01-03,2025-01-03,VA,1,2055 Rayburn House Office Building Washington DC 20515-4601,202-225-4261,Wittman
Steve Womack,rep,Republican,2023-01-03,2025-01-03,AR,3,2412 Rayburn House Office Building Washington DC 20515-0403,202-225-4301,Womack
Mark E. Amodei,rep,Republican,2023-01-03,2025-01-03,NV,2,104 Cannon House Office Building Washington DC 20515-2802,202-225-6155,Amodei
Suzanne Bonamici,rep,Democrat,2023-01-03,2025-01-03,OR,1,2231 Rayburn House Office Building Washington DC 20515-3701,202-225-0855,Bonamici
Suzan K. DelBene,rep,Democrat,2023-01-03,2025-01-03,WA,1,2330 Rayburn House Office Building Washington DC 20515-4701,202-225-6311,DelBene
Thomas Massie,rep,Republican,2023-01-03,2025-01-03,KY,4,2453 Rayburn House Office Building Washington DC 20515-1704,202-225-3465,Massie
Bill Foster,rep,Democrat,2023-01-03,2025-01-03,IL,11,2366 Rayburn House Office Building Washington DC 20515-1311,202-225-3515,Foster
Dina Titus,rep,Democrat,2023-01-03,2025-01-03,NV,1,2464 Rayburn House Office Building Washington DC 20515-2801,202-225-5965,Titus
Doug LaMalfa,rep,Republican,2023-01-03,2025-01-03,CA,1,408 Cannon House Office Building Washington DC 20515-0501,202-225-3076,LaMalfa
Jared Huffman,rep,Democrat,2023-01-03,2025-01-03,CA,2,2445 Rayburn House Office Building Washington DC 20515-0502,202-225-5161,Huffman
Ami Bera,rep,Democrat,2023-01-03,2025-01-03,CA,6,172 Cannon House Office Building Washington DC 20515-0506,202-225-5716,Bera
Eric Swalwell,rep,Democrat,2023-01-03,2025-01-03,CA,14,174 Cannon House Office Building Washington DC 20515-0514,202-225-5065,Swalwell
Julia Brownley,rep,Democrat,2023-01-03,2025-01-03,CA,26,2262 Rayburn House Office Building Washington DC 20515-0526,202-225-5811,Brownley
Tony Cárdenas,rep,Democrat,2023-01-03,2025-01-03,CA,29,2181 Rayburn House Office Building Washington DC 20515-0529,202-225-6131,Cárdenas
Raul Ruiz,rep,Democrat,2023-01-03,2025-01-03,CA,25,2342 Rayburn House Office Building Washington DC 20515-0525,202-225-5330,Ruiz
Mark Takano,rep,Democrat,2023-01-03,2025-01-03,CA,39,2078 Rayburn House Office Building Washington DC 20515-0539,202-225-2305,Takano
Juan Vargas,rep,Democrat,2023-01-03,2025-01-03,CA,52,2334 Rayburn House Office Building Washington DC 20515-0552,202-225-8045,Vargas
Scott H. Peters,rep,Democrat,2023-01-03,2025-01-03,CA,50,1201 Longworth House Office Building Washington DC 20515-0550,202-225-0508,Peters
Lois Frankel,rep,Democrat,2023-01-03,2025-01-03,FL,22,2305 Rayburn House Office Building Washington DC 20515-0922,202-225-9890,Frankel
Andy Barr,rep,Republican,2023-01-03,2025-01-03,KY,6,2430 Rayburn House Office Building Washington DC 20515-1706,202-225-4706,Barr
Daniel T. Kildee,rep,Democrat,2023-01-03,2025-01-03,MI,8,200 Cannon House Office Building Washington DC 20515-2208,202-225-3611,Kildee
Ann Wagner,rep,Republican,2023-01-03,2025-01-03,MO,2,2350 Rayburn House Office Building Washington DC 20515-2502,202-225-1621,Wagner
Richard Hudson,rep,Republican,2023-01-03,2025-01-03,NC,9,2112 Rayburn House Office Building Washington DC 20515-3309,202-225-3715,Hudson
Ann M. Kuster,rep,Democrat,2023-01-03,2025-01-03,NH,2,2201 Rayburn House Office Building Washington DC 20515-2902,202-225-5206,Kuster
Grace Meng,rep,Democrat,2023-01-03,2025-01-03,NY,6,2209 Rayburn House Office Building Washington DC 20515-3206,202-225-2601,Meng
Hakeem S. Jeffries,rep,Democrat,2023-01-03,2025-01-03,NY,8,2433 Rayburn House Office Building Washington DC 20515-3208,202-225-5936,Jeffries
Brad R. Wenstrup,rep,Republican,2023-01-03,2025-01-03,OH,2,2335 Rayburn House Office Building Washington DC 20515-3502,202-225-3164,Wenstrup
Joyce Beatty,rep,Democrat,2023-01-03,2025-01-03,OH,3,2079 Rayburn House Office Building Washington DC 20515-3503,202-225-4324,Beatty
David P. Joyce,rep,Republican,2023-01-03,2025-01-03,OH,14,2065 Rayburn House Office Building Washington DC 20515-3514,202-225-5731,Joyce
Scott Perry,rep,Republican,2023-01-03,2025-01-03,PA,10,2160 Rayburn House Office Building Washington DC 20515-3810,202-225-5836,Perry
Matt Cartwright,rep,Democrat,2023-01-03,2025-01-03,PA,8,2102 Rayburn House Office Building Washington DC 20515-3808,202-225-5546,Cartwright
"Randy K. Weber, Sr.",rep,Republican,2023-01-03,2025-01-03,TX,14,107 Cannon House Office Building Washington DC 20515-4314,202-225-2831,Sr.
Joaquin Castro,rep,Democrat,2023-01-03,2025-01-03,TX,20,2241 Rayburn House Office Building Washington DC 20515-4320,202-225-3236,Castro
Roger Williams,rep,Republican,2023-01-03,2025-01-03,TX,25,2336 Rayburn House Office Building Washington DC 20515-4325,202-225-9896,Williams
Marc A. Veasey,rep,Democrat,2023-01-03,2025-01-03,TX,33,2348 Rayburn House Office Building Washington DC 20515-4333,202-225-9897,Veasey
Derek Kilmer,rep,Democrat,2023-01-03,2025-01-03,WA,6,1226 Longworth House Office Building Washington DC 20515-4706,202-225-5916,Kilmer
Mark Pocan,rep,Democrat,2023-01-03,2025-01-03,WI,2,1026 Longworth House Office Building Washington DC 20515-4902,202-225-2906,Pocan
Robin L. Kelly,rep,Democrat,2023-01-03,2025-01-03,IL,2,2329 Rayburn House Office Building Washington DC 20515-1302,202-225-0773,Kelly
Jason Smith,rep,Republican,2023-01-03,2025-01-03,MO,8,1011 Longworth House Office Building Washington DC 20515-2508,202-225-4404,Smith
Katherine M. Clark,rep,Democrat,2023-01-03,2025-01-03,MA,5,2368 Rayburn House Office Building Washington DC 20515-2105,202-225-2836,Clark
Donald Norcross,rep,Democrat,2023-01-03,2025-01-03,NJ,1,2427 Rayburn House Office Building Washington DC 20515-3001,202-225-6501,Norcross
Alma S. Adams,rep,Democrat,2023-01-03,2025-01-03,NC,12,2436 Rayburn House Office Building Washington DC 20515-3312,202-225-1510,Adams
Gary J. Palmer,rep,Republican,2023-01-03,2025-01-03,AL,6,170 Cannon House Office Building Washington DC 20515-0106,202-225-4921,Palmer
J. French Hill,rep,Republican,2023-01-03,2025-01-03,AR,2,1533 Longworth House Office Building Washington DC 20515-0402,202-225-2506,Hill
Bruce Westerman,rep,Republican,2023-01-03,2025-01-03,AR,4,202 Cannon House Office Building Washington DC 20515-0404,202-225-3772,Westerman
Ruben Gallego,rep,Democrat,2023-01-03,2025-01-03,AZ,3,1114 Longworth House Office Building Washington DC 20515-0303,202-225-4065,Gallego
Mark DeSaulnier,rep,Democrat,2023-01-03,2025-01-03,CA,10,503 Cannon House Office Building Washington DC 20515-0510,202-225-2095,DeSaulnier
Pete Aguilar,rep,Democrat,2023-01-03,2025-01-03,CA,33,108 Cannon House Office Building Washington DC 20515-0533,202-225-3201,Aguilar
Ted Lieu,rep,Democrat,2023-01-03,2025-01-03,CA,36,2454 Rayburn House Office Building Washington DC 20515-0536,202-225-3976,Lieu
Norma J. Torres,rep,Democrat,2023-01-03,2025-01-03,CA,35,2227 Rayburn House Office Building Washington DC 20515-0535,202-225-6161,Torres
"Earl L. ""Buddy"" Carter",rep,Republican,2023-01-03,2025-01-03,GA,1,2432 Rayburn House Office Building Washington DC 20515-1001,202-225-5831,Carter
Barry Loudermilk,rep,Republican,2023-01-03,2025-01-03,GA,11,2133 Rayburn House Office Building Washington DC 20515-1011,202-225-2931,Loudermilk
Rick W. Allen,rep,Republican,2023-01-03,2025-01-03,GA,12,462 Cannon House Office Building Washington DC 20515-1012,202-225-2823,Allen
Mike Bost,rep,Republican,2023-01-03,2025-01-03,IL,12,352 Cannon House Office Building Washington DC 20515-1312,202-225-5661,Bost
Garret Graves,rep,Republican,2023-01-03,2025-01-03,LA,6,2402 Rayburn House Office Building Washington DC 20515-1806,202-225-3901,Graves
Seth Moulton,rep,Democrat,2023-01-03,2025-01-03,MA,6,1126 Longworth House Office Building Washington DC 20515-2106,202-225-8020,Moulton
John R. Moolenaar,rep,Republican,2023-01-03,2025-01-03,MI,2,246 Cannon House Office Building Washington DC 20515-2202,202-225-3561,Moolenaar
Debbie Dingell,rep,Democrat,2023-01-03,2025-01-03,MI,6,102 Cannon House Office Building Washington DC 20515-2206,202-225-4071,Dingell
Tom Emmer,rep,Republican,2023-01-03,2025-01-03,MN,6,464 Cannon House Office Building Washington DC 20515-2306,202-225-2331,Emmer
David Rouzer,rep,Republican,2023-01-03,2025-01-03,NC,7,2333 Rayburn House Office Building Washington DC 20515-3307,202-225-2731,Rouzer
Bonnie Watson Coleman,rep,Democrat,2023-01-03,2025-01-03,NJ,12,168 Cannon House Office Building Washington DC 20515-3012,202-225-5801,Coleman
Elise M. Stefanik,rep,Republican,2023-01-03,2025-01-03,NY,21,2211 Rayburn House Office Building Washington DC 20515-3221,202-225-4611,Stefanik
Brendan F. Boyle,rep,Democrat,2023-01-03,2025-01-03,PA,2,1502 Longworth House Office Building Washington DC 20515-3802,202-225-6111,Boyle
Brian Babin,rep,Republican,2023-01-03,2025-01-03,TX,36,2236 Rayburn House Office Building Washington DC 20515-4336,202-225-1555,Babin
"Donald S. Beyer, Jr.",rep,Democrat,2023-01-03,2025-01-03,VA,8,1119 Longworth House Office Building Washington DC 20515-4608,202-225-4376,Jr.
Dan Newhouse,rep,Republican,2023-01-03,2025-01-03,WA,4,504 Cannon House Office Building Washington DC 20515-4704,202-225-5816,Newhouse
Glenn Grothman,rep,Republican,2023-01-03,2025-01-03,WI,6,1511 Longworth House Office Building Washington DC 20515-4906,202-225-2476,Grothman
Alexander X. Mooney,rep,Republican,2023-01-03,2025-01-03,WV,2,2228 Rayburn House Office Building Washington DC 20515-4802,202-225-2711,Mooney
Trent Kelly,rep,Republican,2023-01-03,2025-01-03,MS,1,2243 Rayburn House Office Building Washington DC 20515-2401,202-225-4306,Kelly
Darin LaHood,rep,Republican,2023-01-03,2025-01-03,IL,16,1424 Longworth House Office Building Washington DC 20515-1316,202-225-6201,LaHood
Warren Davidson,rep,Republican,2023-01-03,2025-01-03,OH,8,2113 Rayburn House Office Building Washington DC 20515-3508,202-225-6205,Davidson
James Comer,rep,Republican,2023-01-03,2025-01-03,KY,1,2410 Rayburn House Office Building Washington DC 20515-1701,202-225-3115,Comer
Dwight Evans,rep,Democrat,2023-01-03,2025-01-03,PA,3,1105 Longworth House Office Building Washington DC 20515-3803,202-225-4001,Evans
Bradley Scott Schneider,rep,Democrat,2023-01-03,2025-01-03,IL,10,300 Cannon House Office Building Washington DC 20515-1310,202-225-4835,Schneider
Andy Biggs,rep,Republican,2023-01-03,2025-01-03,AZ,5,252 Cannon House Office Building Washington DC 20515-0305,202-225-2635,Biggs
Ro Khanna,rep,Democrat,2023-01-03,2025-01-03,CA,17,306 Cannon House Office Building Washington DC 20515-0517,202-225-2631,Khanna
Jimmy Panetta,rep,Democrat,2023-01-03,2025-01-03,CA,19,304 Cannon House Office Building Washington DC 20515-0519,202-225-2861,Panetta
Salud O. Carbajal,rep,Democrat,2023-01-03,2025-01-03,CA,24,2331 Rayburn House Office Building Washington DC 20515-0524,202-225-3601,Carbajal
Nanette Diaz Barragán,rep,Democrat,2023-01-03,2025-01-03,CA,44,2312 Rayburn House Office Building Washington DC 20515-0544,202-225-8220,Barragán
J. Luis Correa,rep,Democrat,2023-01-03,2025-01-03,CA,46,2301 Rayburn House Office Building Washington DC 20515-0546,202-225-2965,Correa
Lisa Blunt Rochester,rep,Democrat,2023-01-03,2025-01-03,DE,0,1724 Longworth House Office Building Washington DC 20515-0800,202-225-4165,Rochester
Matt Gaetz,rep,Republican,2023-01-03,2025-01-03,FL,1,2021 Rayburn House Office Building Washington DC 20515-0901,202-225-4136,Gaetz
Neal P. Dunn,rep,Republican,2023-01-03,2025-01-03,FL,2,466 Cannon House Office Building Washington DC 20515-0902,202-225-5235,Dunn
John H. Rutherford,rep,Republican,2023-01-03,2025-01-03,FL,5,1711 Longworth House Office Building Washington DC 20515-0905,202-225-2501,Rutherford
Darren Soto,rep,Democrat,2023-01-03,2025-01-03,FL,9,2353 Rayburn House Office Building Washington DC 20515-0909,202-225-9889,Soto
Brian J. Mast,rep,Republican,2023-01-03,2025-01-03,FL,21,2182 Rayburn House Office Building Washington DC 20515-0921,202-225-3026,Mast
