,Bill Number,Representative,Party,State,Vote,link,Full Name,Phone Number
3514,H. R. 3334,Schrier,Democratic,Washington,Aye,https://clerk.house.gov/Members/S001216,Kim Schrier, (202) 225-7761
3513,H. R. 3334,Schrier,Democratic,Washington,Nay,https://clerk.house.gov/Members/S001216,Kim Schrier, (202) 225-7761
2063,H. R. 3334,Kelly (IL),Democratic,Illinois,Nay,https://clerk.house.gov/Members/K000385,Robin L. Kelly, (202) 225-0773
673,H. R. 3334,Ciscomani,Republican,Arizona,Yea,https://clerk.house.gov/Members/C001133,Juan Ciscomani, (202) 225-2542
674,H. R. 3334,Ciscomani,Republican,Arizona,Aye,https://clerk.house.gov/Members/C001133,Juan Ciscomani, (202) 225-2542
2773,H. R. 3334,Mills,Republican,Florida,Yea,https://clerk.house.gov/Members/M001216,Cory Mills, (202) 225-4035
2774,H. R. 3334,Mills,Republican,Florida,Aye,https://clerk.house.gov/Members/M001216,Cory Mills, (202) 225-4035
3504,H. R. 3334,Scholten,Democratic,Michigan,Aye,https://clerk.house.gov/Members/S001221,Hillary J. Scholten, (202) 225-3831
3503,H. R. 3334,Scholten,Democratic,Michigan,Yea,https://clerk.house.gov/Members/S001221,Hillary J. Scholten, (202) 225-3831
2064,H. R. 3334,Kelly (IL),Democratic,Illinois,Aye,https://clerk.house.gov/Members/K000385,Robin L. Kelly, (202) 225-0773
2753,H. R. 3334,Miller (WV),Republican,West Virginia,Yea,https://clerk.house.gov/Members/M001205,Carol D. Miller, (202) 225-3452
1883,H. R. 3334,Ivey,Democratic,Maryland,Nay,https://clerk.house.gov/Members/I000058,Glenn Ivey, (202) 225-8699
3543,H. R. 3334,"Scott, Austin",Republican,Georgia,Yea,https://clerk.house.gov/Members/S001189,Austin Scott, (202) 225-6531
2153,H. R. 3334,Kim (CA),Republican,California,Yea,https://clerk.house.gov/Members/K000397,Young Kim, (202) 225-4111
2054,H. R. 3334,Keating,Democratic,Massachusetts,Aye,https://clerk.house.gov/Members/K000375,William R. Keating, (202) 225-3111
2724,H. R. 3334,Mfume,Democratic,Maryland,Aye,https://clerk.house.gov/Members/M000687,Kweisi Mfume, (202) 225-4741
1324,H. R. 3334,Foushee,Democratic,North Carolina,Aye,https://clerk.house.gov/Members/F000477,Valerie P. Foushee, (202) 225-1784
3574,H. R. 3334,Sessions,Republican,Texas,Aye,https://clerk.house.gov/Members/S000250,Pete Sessions, (202) 225-6105
3573,H. R. 3334,Sessions,Republican,Texas,Yea,https://clerk.house.gov/Members/S000250,Pete Sessions, (202) 225-6105
1323,H. R. 3334,Foushee,Democratic,North Carolina,Nay,https://clerk.house.gov/Members/F000477,Valerie P. Foushee, (202) 225-1784
623,H. R. 3334,Castor (FL),Democratic,Florida,Nay,https://clerk.house.gov/Members/C001066,Kathy Castor, (202) 225-3376
624,H. R. 3334,Castor (FL),Democratic,Florida,Aye,https://clerk.house.gov/Members/C001066,Kathy Castor, (202) 225-3376
1803,H. R. 3334,Houlahan,Democratic,Pennsylvania,Nay,https://clerk.house.gov/Members/H001085,Chrissy Houlahan, (202) 225-4315
2733,H. R. 3334,Miller (IL),Republican,Illinois,Yea,https://clerk.house.gov/Members/M001211,Mary E. Miller, (202) 225-5271
2734,H. R. 3334,Miller (IL),Republican,Illinois,Aye,https://clerk.house.gov/Members/M001211,Mary E. Miller, (202) 225-5271
3564,H. R. 3334,Self,Republican,Texas,Aye,https://clerk.house.gov/Members/S001224,Keith Self, (202) 225-4201
1284,H. R. 3334,Fletcher,Democratic,Texas,Aye,https://clerk.house.gov/Members/F000468,Lizzie Fletcher, (202) 225-2571
3563,H. R. 3334,Self,Republican,Texas,Yea,https://clerk.house.gov/Members/S001224,Keith Self, (202) 225-4201
633,H. R. 3334,Castro (TX),Democratic,Texas,Nay,https://clerk.house.gov/Members/C001091,Joaquin Castro, (202) 225-3236
634,H. R. 3334,Castro (TX),Democratic,Texas,Aye,https://clerk.house.gov/Members/C001091,Joaquin Castro, (202) 225-3236
1314,H. R. 3334,Foster,Democratic,Illinois,Aye,https://clerk.house.gov/Members/F000454,Bill Foster, (202) 225-3515
1313,H. R. 3334,Foster,Democratic,Illinois,Nay,https://clerk.house.gov/Members/F000454,Bill Foster, (202) 225-3515
3554,H. R. 3334,"Scott, David",Democratic,Georgia,Aye,https://clerk.house.gov/Members/S001157,David Scott, (202) 225-2939
2743,H. R. 3334,Miller (OH),Republican,Ohio,Yea,https://clerk.house.gov/Members/M001222,Max L. Miller, (202) 225-3876
3553,H. R. 3334,"Scott, David",Democratic,Georgia,Yea,https://clerk.house.gov/Members/S001157,David Scott, (202) 225-2939
1884,H. R. 3334,Ivey,Democratic,Maryland,Aye,https://clerk.house.gov/Members/I000058,Glenn Ivey, (202) 225-8699
2744,H. R. 3334,Miller (OH),Republican,Ohio,Aye,https://clerk.house.gov/Members/M001222,Max L. Miller, (202) 225-3876
643,H. R. 3334,Chavez-DeRemer,Republican,Oregon,Yea,https://clerk.house.gov/Members/C001135,Lori Chavez-DeRemer, (202) 225-5711
644,H. R. 3334,Chavez-DeRemer,Republican,Oregon,Aye,https://clerk.house.gov/Members/C001135,Lori Chavez-DeRemer, (202) 225-5711
3544,H. R. 3334,"Scott, Austin",Republican,Georgia,Aye,https://clerk.house.gov/Members/S001189,Austin Scott, (202) 225-6531
1804,H. R. 3334,Houlahan,Democratic,Pennsylvania,Aye,https://clerk.house.gov/Members/H001085,Chrissy Houlahan, (202) 225-4315
614,H. R. 3334,Casten,Democratic,Illinois,Aye,https://clerk.house.gov/Members/C001117,Sean Casten, (202) 225-4561
683,H. R. 3334,Clark (MA),Democratic,Massachusetts,Nay,https://clerk.house.gov/Members/C001101,Katherine M. Clark, (202) 225-2836
1283,H. R. 3334,Fletcher,Democratic,Texas,Nay,https://clerk.house.gov/Members/F000468,Lizzie Fletcher, (202) 225-2571
723,H. R. 3334,Cloud,Republican,Texas,Yea,https://clerk.house.gov/Members/C001115,Michael Cloud, (202) 225-7742
724,H. R. 3334,Cloud,Republican,Texas,Aye,https://clerk.house.gov/Members/C001115,Michael Cloud, (202) 225-7742
1253,H. R. 3334,Fitzgerald,Republican,Wisconsin,Yea,https://clerk.house.gov/Members/F000471,Scott Fitzgerald, (202) 225-5101
2814,H. R. 3334,Moore (AL),Republican,Alabama,Aye,https://clerk.house.gov/Members/M001212,Barry Moore, (202) 225-2901
2143,H. R. 3334,Kilmer,Democratic,Washington,Nay,https://clerk.house.gov/Members/K000381,Derek Kilmer, (202) 225-5916
3444,H. R. 3334,Sarbanes,Democratic,Maryland,Aye,https://clerk.house.gov/Members/S001168,John P. Sarbanes, (202) 225-4016
3443,H. R. 3334,Sarbanes,Democratic,Maryland,Nay,https://clerk.house.gov/Members/S001168,John P. Sarbanes, (202) 225-4016
1873,H. R. 3334,Issa,Republican,California,Yea,https://clerk.house.gov/Members/I000056,Darrell Issa, (202) 225-5672
2823,H. R. 3334,Moore (UT),Republican,Utah,Yea,https://clerk.house.gov/Members/M001213,Blake D. Moore, (202) 225-0453
733,H. R. 3334,Clyburn,Democratic,South Carolina,Nay,https://clerk.house.gov/Members/C000537,James E. Clyburn, (202) 225-3315
734,H. R. 3334,Clyburn,Democratic,South Carolina,Aye,https://clerk.house.gov/Members/C000537,James E. Clyburn, (202) 225-3315
2824,H. R. 3334,Moore (UT),Republican,Utah,Aye,https://clerk.house.gov/Members/M001213,Blake D. Moore, (202) 225-0453
3434,H. R. 3334,Sánchez,Democratic,California,Aye,https://clerk.house.gov/Members/S001156,Linda T. Sánchez, (202) 225-6676
1244,H. R. 3334,Fischbach,Republican,Minnesota,Aye,https://clerk.house.gov/Members/F000470,Michelle Fischbach, (202) 225-2165
3433,H. R. 3334,Sánchez,Democratic,California,Nay,https://clerk.house.gov/Members/S001156,Linda T. Sánchez, (202) 225-6676
1243,H. R. 3334,Fischbach,Republican,Minnesota,Yea,https://clerk.house.gov/Members/F000470,Michelle Fischbach, (202) 225-2165
1813,H. R. 3334,Hoyer,Democratic,Maryland,Nay,https://clerk.house.gov/Members/H000874,Steny H. Hoyer, (202) 225-4131
743,H. R. 3334,Clyde,Republican,Georgia,Yea,https://clerk.house.gov/Members/C001116,Andrew S. Clyde, (202) 225-9893
744,H. R. 3334,Clyde,Republican,Georgia,Aye,https://clerk.house.gov/Members/C001116,Andrew S. Clyde, (202) 225-9893
3424,H. R. 3334,Salinas,Democratic,Oregon,Aye,https://clerk.house.gov/Members/S001226,Andrea Salinas, (202) 225-5643
2833,H. R. 3334,Moore (WI),Democratic,Wisconsin,Nay,https://clerk.house.gov/Members/M001160,Gwen Moore, (202) 225-4572
3423,H. R. 3334,Salinas,Democratic,Oregon,Yea,https://clerk.house.gov/Members/S001226,Andrea Salinas, (202) 225-5643
2834,H. R. 3334,Moore (WI),Democratic,Wisconsin,Aye,https://clerk.house.gov/Members/M001160,Gwen Moore, (202) 225-4572
2073,H. R. 3334,Kelly (MS),Republican,Mississippi,Yea,https://clerk.house.gov/Members/K000388,Trent Kelly, (202) 225-4306
3414,H. R. 3334,Salazar,Republican,Florida,Aye,https://clerk.house.gov/Members/S000168,Maria Elvira Salazar, (202) 225-3931
1874,H. R. 3334,Issa,Republican,California,Aye,https://clerk.house.gov/Members/I000056,Darrell Issa, (202) 225-5672
3453,H. R. 3334,Scalise,Republican,Louisiana,Yea,https://clerk.house.gov/Members/S001176,Steve Scalise, (202) 225-3015
3454,H. R. 3334,Scalise,Republican,Louisiana,Aye,https://clerk.house.gov/Members/S001176,Steve Scalise, (202) 225-3015
1254,H. R. 3334,Fitzgerald,Republican,Wisconsin,Aye,https://clerk.house.gov/Members/F000471,Scott Fitzgerald, (202) 225-5101
2783,H. R. 3334,Molinaro,Republican,New York,Yea,https://clerk.house.gov/Members/M001221,Marcus J. Molinaro, (202) 225-5441
3494,H. R. 3334,Schneider,Democratic,Illinois,Aye,https://clerk.house.gov/Members/S001190,Bradley Scott Schneider, (202) 225-4835
2784,H. R. 3334,Molinaro,Republican,New York,Aye,https://clerk.house.gov/Members/M001221,Marcus J. Molinaro, (202) 225-5441
3493,H. R. 3334,Schneider,Democratic,Illinois,Nay,https://clerk.house.gov/Members/S001190,Bradley Scott Schneider, (202) 225-4835
1274,H. R. 3334,Fleischmann,Republican,Tennessee,Aye,https://clerk.house.gov/Members/F000459,"Charles J. ""Chuck"" Fleischmann", (202) 225-3271
693,H. R. 3334,Clarke (NY),Democratic,New York,Nay,https://clerk.house.gov/Members/C001067,Yvette D. Clarke, (202) 225-6231
694,H. R. 3334,Clarke (NY),Democratic,New York,Aye,https://clerk.house.gov/Members/C001067,Yvette D. Clarke, (202) 225-6231
3484,H. R. 3334,Schiff,Democratic,California,Aye,https://clerk.house.gov/Members/S001150,Adam B. Schiff, (202) 225-4176
1273,H. R. 3334,Fleischmann,Republican,Tennessee,Yea,https://clerk.house.gov/Members/F000459,"Charles J. ""Chuck"" Fleischmann", (202) 225-3271
3483,H. R. 3334,Schiff,Democratic,California,Nay,https://clerk.house.gov/Members/S001150,Adam B. Schiff, (202) 225-4176
2793,H. R. 3334,Moolenaar,Republican,Michigan,Yea,https://clerk.house.gov/Members/M001194,John R. Moolenaar, (202) 225-3561
2794,H. R. 3334,Moolenaar,Republican,Michigan,Aye,https://clerk.house.gov/Members/M001194,John R. Moolenaar, (202) 225-3561
684,H. R. 3334,Clark (MA),Democratic,Massachusetts,Aye,https://clerk.house.gov/Members/C001101,Katherine M. Clark, (202) 225-2836
3474,H. R. 3334,Schakowsky,Democratic,Illinois,Aye,https://clerk.house.gov/Members/S001145,Janice D. Schakowsky, (202) 225-2111
704,H. R. 3334,Cleaver,Democratic,Missouri,Aye,https://clerk.house.gov/Members/C001061,Emanuel Cleaver, (202) 225-4535
3473,H. R. 3334,Schakowsky,Democratic,Illinois,Nay,https://clerk.house.gov/Members/S001145,Janice D. Schakowsky, (202) 225-2111
1264,H. R. 3334,Fitzpatrick,Republican,Pennsylvania,Aye,https://clerk.house.gov/Members/F000466,Brian K. Fitzpatrick, (202) 225-4276
1263,H. R. 3334,Fitzpatrick,Republican,Pennsylvania,Yea,https://clerk.house.gov/Members/F000466,Brian K. Fitzpatrick, (202) 225-4276
2803,H. R. 3334,Mooney,Republican,West Virginia,Yea,https://clerk.house.gov/Members/M001195,Alexander X. Mooney, (202) 225-2711
2804,H. R. 3334,Mooney,Republican,West Virginia,Aye,https://clerk.house.gov/Members/M001195,Alexander X. Mooney, (202) 225-2711
3464,H. R. 3334,Scanlon,Democratic,Pennsylvania,Aye,https://clerk.house.gov/Members/S001205,Mary Gay Scanlon, (202) 225-2011
3463,H. R. 3334,Scanlon,Democratic,Pennsylvania,Nay,https://clerk.house.gov/Members/S001205,Mary Gay Scanlon, (202) 225-2011
713,H. R. 3334,Cline,Republican,Virginia,Yea,https://clerk.house.gov/Members/C001118,Ben Cline, (202) 225-5431
714,H. R. 3334,Cline,Republican,Virginia,Aye,https://clerk.house.gov/Members/C001118,Ben Cline, (202) 225-5431
2144,H. R. 3334,Kilmer,Democratic,Washington,Aye,https://clerk.house.gov/Members/K000381,Derek Kilmer, (202) 225-5916
2813,H. R. 3334,Moore (AL),Republican,Alabama,Yea,https://clerk.house.gov/Members/M001212,Barry Moore, (202) 225-2901
703,H. R. 3334,Cleaver,Democratic,Missouri,Nay,https://clerk.house.gov/Members/C001061,Emanuel Cleaver, (202) 225-4535
753,H. R. 3334,Cohen,Democratic,Tennessee,Nay,https://clerk.house.gov/Members/C001068,Steve Cohen, (202) 225-3265
613,H. R. 3334,Casten,Democratic,Illinois,Nay,https://clerk.house.gov/Members/C001117,Sean Casten, (202) 225-4561
3584,H. R. 3334,Sewell,Democratic,Alabama,Aye,https://clerk.house.gov/Members/S001185,Terri A. Sewell, (202) 225-2665
1794,H. R. 3334,Houchin,Republican,Indiana,Aye,https://clerk.house.gov/Members/H001093,Erin Houchin, (202) 225-5315
3704,H. R. 3334,Spanberger,Democratic,Virginia,Aye,https://clerk.house.gov/Members/S001209,Abigail Davis Spanberger, (202) 225-2815
3703,H. R. 3334,Spanberger,Democratic,Virginia,Nay,https://clerk.house.gov/Members/S001209,Abigail Davis Spanberger, (202) 225-2815
513,H. R. 3334,Cárdenas,Democratic,California,Nay,https://clerk.house.gov/Members/C001097,Tony Cárdenas, (202) 225-6131
514,H. R. 3334,Cárdenas,Democratic,California,Aye,https://clerk.house.gov/Members/C001097,Tony Cárdenas, (202) 225-6131
2643,H. R. 3334,McGarvey,Democratic,Kentucky,Nay,https://clerk.house.gov/Members/M001220,Morgan McGarvey, (202) 225-5401
2644,H. R. 3334,McGarvey,Democratic,Kentucky,Aye,https://clerk.house.gov/Members/M001220,Morgan McGarvey, (202) 225-5401
1394,H. R. 3334,Gaetz,Republican,Florida,Aye,https://clerk.house.gov/Members/G000578,Matt Gaetz, (202) 225-4136
3074,H. R. 3334,Palmer,Republican,Alabama,Aye,https://clerk.house.gov/Members/P000609,Gary J. Palmer, (202) 225-4921
3694,H. R. 3334,Soto,Democratic,Florida,Aye,https://clerk.house.gov/Members/S001200,Darren Soto, (202) 225-9889
3693,H. R. 3334,Soto,Democratic,Florida,Nay,https://clerk.house.gov/Members/S001200,Darren Soto, (202) 225-9889
523,H. R. 3334,Carey,Republican,Ohio,Yea,https://clerk.house.gov/Members/C001126,Mike Carey, (202) 225-2015
524,H. R. 3334,Carey,Republican,Ohio,Aye,https://clerk.house.gov/Members/C001126,Mike Carey, (202) 225-2015
2164,H. R. 3334,Kim (NJ),Democratic,New Jersey,Aye,https://clerk.house.gov/Members/K000394,Andy Kim, (202) 225-4765
2653,H. R. 3334,McGovern,Democratic,Massachusetts,Nay,https://clerk.house.gov/Members/M000312,James P. McGovern, (202) 225-6101
2654,H. R. 3334,McGovern,Democratic,Massachusetts,Aye,https://clerk.house.gov/Members/M000312,James P. McGovern, (202) 225-6101
3684,H. R. 3334,Sorensen,Democratic,Illinois,Aye,https://clerk.house.gov/Members/S001225,Eric Sorensen, (202) 225-5905
3683,H. R. 3334,Sorensen,Democratic,Illinois,Yea,https://clerk.house.gov/Members/S001225,Eric Sorensen, (202) 225-5905
2043,H. R. 3334,Kean (NJ),Republican,New Jersey,Yea,https://clerk.house.gov/Members/K000398,"Thomas H. Kean, Jr.", (202) 225-5361
533,H. R. 3334,Carl,Republican,Alabama,Yea,https://clerk.house.gov/Members/C001054,Jerry L. Carl, (202) 225-4931
534,H. R. 3334,Carl,Republican,Alabama,Aye,https://clerk.house.gov/Members/C001054,Jerry L. Carl, (202) 225-4931
1384,H. R. 3334,Fulcher,Republican,Idaho,Aye,https://clerk.house.gov/Members/F000469,Russ Fulcher, (202) 225-6611
1383,H. R. 3334,Fulcher,Republican,Idaho,Yea,https://clerk.house.gov/Members/F000469,Russ Fulcher, (202) 225-6611
3674,H. R. 3334,Smucker,Republican,Pennsylvania,Aye,https://clerk.house.gov/Members/S001199,Lloyd Smucker, (202) 225-2411
3673,H. R. 3334,Smucker,Republican,Pennsylvania,Yea,https://clerk.house.gov/Members/S001199,Lloyd Smucker, (202) 225-2411
2634,H. R. 3334,McCormick,Republican,Georgia,Aye,https://clerk.house.gov/Members/M001218,Richard McCormick, (202) 225-4272
1403,H. R. 3334,Gallego,Democratic,Arizona,Not Voting,https://clerk.house.gov/Members/G000574,Ruben Gallego, (202) 225-4065
1404,H. R. 3334,Gallego,Democratic,Arizona,Not Voting,https://clerk.house.gov/Members/G000574,Ruben Gallego, (202) 225-4065
3713,H. R. 3334,Spartz,Republican,Indiana,Not Voting,https://clerk.house.gov/Members/S000929,Victoria Spartz, (202) 225-2276
474,H. R. 3334,Calvert,Republican,California,Aye,https://clerk.house.gov/Members/C000059,Ken Calvert, (202) 225-1986
1424,H. R. 3334,Garbarino,Republican,New York,Aye,https://clerk.house.gov/Members/G000597,Andrew R. Garbarino, (202) 225-7896
1423,H. R. 3334,Garbarino,Republican,New York,Yea,https://clerk.house.gov/Members/G000597,Andrew R. Garbarino, (202) 225-7896
2613,H. R. 3334,McClintock,Republican,California,Nay,https://clerk.house.gov/Members/M001177,Tom McClintock, (202) 225-2511
2614,H. R. 3334,McClintock,Republican,California,Aye,https://clerk.house.gov/Members/M001177,Tom McClintock, (202) 225-2511
3744,H. R. 3334,Stauber,Republican,Minnesota,Aye,https://clerk.house.gov/Members/S001212,Pete Stauber, (202) 225-6211
3743,H. R. 3334,Stauber,Republican,Minnesota,Yea,https://clerk.house.gov/Members/S001212,Pete Stauber, (202) 225-6211
1903,H. R. 3334,Jackson (NC),Democratic,North Carolina,Yea,https://clerk.house.gov/Members/J000308,Jeff Jackson, (202) 225-5634
483,H. R. 3334,Cammack,Republican,Florida,Yea,https://clerk.house.gov/Members/C001039,Kat Cammack, (202) 225-5744
484,H. R. 3334,Cammack,Republican,Florida,Aye,https://clerk.house.gov/Members/C001039,Kat Cammack, (202) 225-5744
3734,H. R. 3334,Stanton,Democratic,Arizona,Aye,https://clerk.house.gov/Members/S001211,Greg Stanton, (202) 225-9888
1414,H. R. 3334,Garamendi,Democratic,California,Not Voting,https://clerk.house.gov/Members/G000559,John Garamendi, (202) 225-1880
2663,H. R. 3334,McHenry,Republican,North Carolina,Yea,https://clerk.house.gov/Members/M001156,Patrick T. McHenry, (202) 225-2576
3733,H. R. 3334,Stanton,Democratic,Arizona,Nay,https://clerk.house.gov/Members/S001211,Greg Stanton, (202) 225-9888
1413,H. R. 3334,Garamendi,Democratic,California,Not Voting,https://clerk.house.gov/Members/G000559,John Garamendi, (202) 225-1880
2623,H. R. 3334,McCollum,Democratic,Minnesota,Nay,https://clerk.house.gov/Members/M001143,Betty McCollum, (202) 225-6631
493,H. R. 3334,Caraveo,Democratic,Colorado,Yea,https://clerk.house.gov/Members/C001134,Yadira Caraveo, (202) 225-5625
494,H. R. 3334,Caraveo,Democratic,Colorado,Aye,https://clerk.house.gov/Members/C001134,Yadira Caraveo, (202) 225-5625
3724,H. R. 3334,Stansbury,Democratic,New Mexico,Aye,https://clerk.house.gov/Members/S001218,Melanie A. Stansbury, (202) 225-6316
2624,H. R. 3334,McCollum,Democratic,Minnesota,Aye,https://clerk.house.gov/Members/M001143,Betty McCollum, (202) 225-6631
3723,H. R. 3334,Stansbury,Democratic,New Mexico,Nay,https://clerk.house.gov/Members/S001218,Melanie A. Stansbury, (202) 225-6316
1793,H. R. 3334,Houchin,Republican,Indiana,Yea,https://clerk.house.gov/Members/H001093,Erin Houchin, (202) 225-5315
2633,H. R. 3334,McCormick,Republican,Georgia,Yea,https://clerk.house.gov/Members/M001218,Richard McCormick, (202) 225-4272
3714,H. R. 3334,Spartz,Republican,Indiana,Not Voting,https://clerk.house.gov/Members/S000929,Victoria Spartz, (202) 225-2276
503,H. R. 3334,Carbajal,Democratic,California,Nay,https://clerk.house.gov/Members/C001112,Salud O. Carbajal, (202) 225-3601
504,H. R. 3334,Carbajal,Democratic,California,Aye,https://clerk.house.gov/Members/C001112,Salud O. Carbajal, (202) 225-3601
2034,H. R. 3334,Kaptur,Democratic,Ohio,Aye,https://clerk.house.gov/Members/K000009,Marcy Kaptur, (202) 225-4146
3583,H. R. 3334,Sewell,Democratic,Alabama,Nay,https://clerk.house.gov/Members/S001185,Terri A. Sewell, (202) 225-2665
2664,H. R. 3334,McHenry,Republican,North Carolina,Aye,https://clerk.house.gov/Members/M001156,Patrick T. McHenry, (202) 225-2576
544,H. R. 3334,Carson,Democratic,Indiana,Aye,https://clerk.house.gov/Members/C001072,André Carson, (202) 225-4011
3623,H. R. 3334,Slotkin,Democratic,Michigan,Yea,https://clerk.house.gov/Members/S001208,Elissa Slotkin, (202) 225-4872
2694,H. R. 3334,Menendez,Democratic,New Jersey,Aye,https://clerk.house.gov/Members/M001226,Robert Menendez, (202) 225-7919
583,H. R. 3334,Cartwright,Democratic,Pennsylvania,Yea,https://clerk.house.gov/Members/C001090,Matt Cartwright, (202) 225-5546
584,H. R. 3334,Cartwright,Democratic,Pennsylvania,Aye,https://clerk.house.gov/Members/C001090,Matt Cartwright, (202) 225-5546
2703,H. R. 3334,Meng,Democratic,New York,Nay,https://clerk.house.gov/Members/M001188,Grace Meng, (202) 225-2601
3614,H. R. 3334,Simpson,Republican,Idaho,Aye,https://clerk.house.gov/Members/S001148,Michael K. Simpson, (202) 225-5531
2704,H. R. 3334,Meng,Democratic,New York,Aye,https://clerk.house.gov/Members/M001188,Grace Meng, (202) 225-2601
3613,H. R. 3334,Simpson,Republican,Idaho,Yea,https://clerk.house.gov/Members/S001148,Michael K. Simpson, (202) 225-5531
1344,H. R. 3334,"Frankel, Lois",Democratic,Florida,Aye,https://clerk.house.gov/Members/F000462,Lois Frankel, (202) 225-9890
1343,H. R. 3334,"Frankel, Lois",Democratic,Florida,Nay,https://clerk.house.gov/Members/F000462,Lois Frankel, (202) 225-9890
593,H. R. 3334,Casar,Democratic,Texas,Nay,https://clerk.house.gov/Members/C001131,Greg Casar, (202) 225-5645
594,H. R. 3334,Casar,Democratic,Texas,Aye,https://clerk.house.gov/Members/C001131,Greg Casar, (202) 225-5645
3604,H. R. 3334,Sherrill,Democratic,New Jersey,Aye,https://clerk.house.gov/Members/S001207,Mikie Sherrill, (202) 225-5034
3603,H. R. 3334,Sherrill,Democratic,New Jersey,Nay,https://clerk.house.gov/Members/S001207,Mikie Sherrill, (202) 225-5034
2713,H. R. 3334,Meuser,Republican,Pennsylvania,Yea,https://clerk.house.gov/Members/M001204,Daniel Meuser, (202) 225-6511
2053,H. R. 3334,Keating,Democratic,Massachusetts,Nay,https://clerk.house.gov/Members/K000375,William R. Keating, (202) 225-3111
2714,H. R. 3334,Meuser,Republican,Pennsylvania,Aye,https://clerk.house.gov/Members/M001204,Daniel Meuser, (202) 225-6511
3594,H. R. 3334,Sherman,Democratic,California,Aye,https://clerk.house.gov/Members/S000344,Brad Sherman, (202) 225-5911
603,H. R. 3334,Case,Democratic,Hawaii,Nay,https://clerk.house.gov/Members/C001055,Ed Case, (202) 225-2726
604,H. R. 3334,Case,Democratic,Hawaii,Aye,https://clerk.house.gov/Members/C001055,Ed Case, (202) 225-2726
3593,H. R. 3334,Sherman,Democratic,California,Nay,https://clerk.house.gov/Members/S000344,Brad Sherman, (202) 225-5911
1334,H. R. 3334,Foxx,Republican,North Carolina,Aye,https://clerk.house.gov/Members/F000450,Virginia Foxx, (202) 225-2071
1333,H. R. 3334,Foxx,Republican,North Carolina,Yea,https://clerk.house.gov/Members/F000450,Virginia Foxx, (202) 225-2071
2154,H. R. 3334,Kim (CA),Republican,California,Aye,https://clerk.house.gov/Members/K000397,Young Kim, (202) 225-4111
2723,H. R. 3334,Mfume,Democratic,Maryland,Nay,https://clerk.house.gov/Members/M000687,Kweisi Mfume, (202) 225-4741
3624,H. R. 3334,Slotkin,Democratic,Michigan,Aye,https://clerk.house.gov/Members/S001208,Elissa Slotkin, (202) 225-4872
1353,H. R. 3334,"Franklin, Scott",Republican,Florida,Yea,https://clerk.house.gov/Members/F000472,Scott Franklin, (202) 225-1252
1354,H. R. 3334,"Franklin, Scott",Republican,Florida,Aye,https://clerk.house.gov/Members/F000472,Scott Franklin, (202) 225-1252
2693,H. R. 3334,Menendez,Democratic,New Jersey,Nay,https://clerk.house.gov/Members/M001226,Robert Menendez, (202) 225-7919
3664,H. R. 3334,Smith (WA),Democratic,Washington,Aye,https://clerk.house.gov/Members/S000510,Adam Smith, (202) 225-8901
3663,H. R. 3334,Smith (WA),Democratic,Washington,Nay,https://clerk.house.gov/Members/S000510,Adam Smith, (202) 225-8901
